Date,Ticker,Open,High,Low,Close,Volume
2023-02-21,ANSS,266.88,268.44,263.78,265.81,506900.0
2023-02-21,FAST,50.27,50.27,48.69,48.81,2673100.0
2023-02-21,FTNT,59.79,60.37,59.3,59.71,4515500.0
2023-02-21,PLTR,9.01,9.1,8.4,8.47,65226600.0
2023-02-21,TTWO,111.47,113.27,111.04,112.02,1800900.0
2023-02-21,BKNG,2393.84,2428.18,2393.84,2404.17,225200.0
2023-02-21,ZS,130.21,131.35,127.34,127.84,1502200.0
2023-02-21,ON,80.4,81.76,79.05,79.28,6312800.0
2023-02-21,CSGP,77.06,77.97,75.85,76.02,2093800.0
2023-02-21,REGN,748.09,752.47,744.15,746.52,411700.0
2023-02-21,SBUX,100.66,101.09,99.91,99.98,5438000.0
2023-02-21,INTU,391.28,395.04,388.66,391.19,1331700.0
2023-02-21,ASML,628.08,633.91,619.73,619.97,1022700.0
2023-02-21,ISRG,236.55,236.98,232.87,233.58,1852000.0
2023-02-21,MDB,207.69,214.0,206.91,210.61,1183000.0
2023-02-21,LULU,314.83,318.34,313.8,314.11,1065500.0
2023-02-21,CEG,80.07,81.45,78.39,78.86,5056000.0
2023-02-21,AMZN,95.34,95.61,94.27,94.58,56580400.0
2023-02-21,MELI,1094.9,1123.31,1085.15,1099.33,656900.0
2023-02-21,CTAS,105.62,105.74,103.66,104.12,1550400.0
2023-02-21,NXPI,179.45,181.1,175.2,175.51,2073800.0
2023-02-21,HON,193.09,193.17,188.19,188.48,2830900.0
2023-02-21,LIN,314.7,319.99,313.91,316.27,3245700.0
2023-02-21,AEP,84.45,84.89,83.5,83.87,2834600.0
2023-02-21,MSTR,28.62,29.07,26.75,26.99,5715000.0
2023-02-21,WDAY,184.0,184.52,181.56,181.92,1515400.0
2023-02-21,TMUS,145.46,145.74,142.76,144.32,5648800.0
2023-02-21,NVDA,20.98,21.48,20.6,20.64,410015000.0
2023-02-21,GOOGL,92.66,92.76,91.39,91.46,33629300.0
2023-02-21,AXON,188.87,191.78,187.64,189.77,527100.0
